id,gender,ocp_cd,age,cc_txn_amt,cc_count,kp_txn_count,kp_txn_amt
1,2,9.0,5,4.650307523131937,5.0,2.0,3.5440680443502752
2,2,3.0,4,4.81424759573192,42.0,104.0,5.322219294733919
3,2,1.0,3,0.0,0.0,70.0,5.145196406114182
4,2,3.0,5,5.886490725172481,36.0,315.0,6.783624912835713
5,2,9.0,4,4.079181246047624,3.0,0.0,0.0
6,1,3.0,3,4.505149978319905,3.0,10.0,4.127104798364807
7,1,3.0,5,4.613841821876068,22.0,277.0,5.780893108687079
8,2,9.0,3,4.212187604403957,7.0,1466.0,5.9056879677118514
9,1,9.0,4,4.462397997898956,7.0,9.0,3.662757831681574
10,1,3.0,3,0.0,0.0,43.0,4.835056101720116
11,1,9.0,4,4.619093330626742,11.0,143.0,5.718999637878718
12,2,3.0,4,4.431363764158987,41.0,0.0,0.0
13,2,3.0,3,3.9912260756924947,6.0,22.0,4.717670503002262
14,2,3.0,5,4.770852011642144,29.0,0.0,0.0
15,2,3.0,3,4.278753600952828,18.0,0.0,0.0
16,2,3.0,4,4.532754378992498,10.0,2.0,4.315970345456917
17,2,9.0,3,0.0,0.0,120.0,5.595275711802099
18,1,3.0,4,0.0,0.0,78.0,4.985875357308393
19,1,9.0,4,4.505149978319905,6.0,0.0,0.0
20,2,9.0,3,3.9542425094393248,1.0,4.0,2.7781512503836434
21,2,3.0,3,4.639486489268585,26.0,90.0,5.594282028811806
22,1,3.0,4,5.178976947293169,145.0,38.0,5.95124035032434
23,2,9.0,4,4.411619705963229,26.0,37.0,5.075546961392531
24,1,9.0,4,3.9542425094393248,1.0,0.0,0.0
25,1,9.0,5,4.88309335857569,21.0,124.0,5.902383684432471
26,1,3.0,4,0.0,0.0,111.0,4.7267272090265715
27,2,3.0,5,0.0,0.0,0.0,0.0
28,2,9.0,4,4.539076098792776,8.0,53.0,5.135450699345514
29,2,9.0,3,4.354108439147401,10.0,8.0,4.790988475088815
30,2,3.0,5,3.778151250383643,1.0,45.0,3.4623979978989556
31,2,9.0,3,5.227115082589125,48.0,274.0,6.161487791087452
32,1,9.0,3,4.974971994298069,58.0,27.0,5.551205943747906
33,2,3.0,3,4.5820633629117085,18.0,50.0,5.07809415040641
34,1,9.0,3,4.146128035678237,8.0,0.0,0.0
35,1,3.0,2,4.0413926851582245,1.0,0.0,0.0
36,1,3.0,5,4.701567985055926,18.0,383.0,6.094575933649248
37,2,3.0,4,4.187520720836463,3.0,96.0,6.158995376848309
38,2,3.0,4,3.9684829485539352,2.0,0.0,0.0
39,2,9.0,4,4.587710965018911,22.0,13.0,4.6232492903979
40,1,3.0,4,0.0,0.0,0.0,0.0
41,1,9.0,4,4.267171728403013,17.0,45.0,4.902546779313991
42,2,3.0,3,4.77451696572855,40.0,152.0,5.933537901971704
43,2,9.0,3,4.033423755486949,11.0,20.0,4.569373909615045
44,1,3.0,4,4.176091259055681,3.0,11.0,4.682145076373831
45,1,9.0,4,4.652246341003322,19.0,85.0,5.547159121327417
46,2,9.0,3,4.146128035678237,1.0,54.0,5.191730393362856
47,1,9.0,5,3.9590413923210934,5.0,12.0,4.68930885912362
48,2,9.0,5,0.0,0.0,0.0,0.0
49,1,3.0,5,4.012837224705172,10.0,22.0,5.220108088040055
50,2,9.0,4,4.853698211776174,59.0,68.0,5.4080702858871845
51,2,9.0,3,4.107209969647868,4.0,21.0,4.910090545594068
52,2,9.0,4,3.929418925714293,5.0,100.0,5.518382315545343
53,2,3.0,4,5.405004665050369,32.0,53.0,5.587149498254343
54,2,9.0,4,4.492760389026837,17.0,70.0,5.126131407261984
55,2,9.0,5,4.176091259055681,1.0,55.0,5.47158505418519
56,1,3.0,4,4.60422605308447,23.0,24.0,4.866877814337498
57,1,9.0,4,0.0,0.0,442.0,7.029971909180223
58,1,9.0,3,4.29666519026153,6.0,51.0,4.93801909747621
