id,income
50001,29726.43
50002,12623.334
50003,25392.48
50004,26004.518
50005,28860.402
50006,35063.977
50007,34166.56
50008,43709.04
50009,35515.45
50010,52380.375
50011,17873.854
50012,20264.945
50013,67831.914
50014,40604.84
50015,59124.684
50016,26078.197
50017,35890.965
50018,43307.465
50019,29890.635
50020,34873.61
50021,28237.012
50022,49311.305
50023,35401.867
50024,45127.18
50025,34376.86
50026,98664.03
50027,28088.633
50028,16965.1
50029,25529.748
50030,24453.902
50031,29360.031
50032,93849.31
50033,36943.723
50034,15473.151
50035,45122.11
50036,34449.586
50037,41077.766
50038,23763.947
50039,18319.875
50040,35912.977
50041,44821.39
50042,32378.246
50043,37000.6
50044,29199.42
50045,36438.055
50046,28917.273
50047,50294.27
50048,35573.73
50049,39236.145
50050,28183.033
50051,39997.51
50052,57987.65
50053,49444.12
50054,65437.46
50055,52399.85
50056,40326.84
50057,27155.895
50058,26629.77
50059,27933.639
50060,38809.484
50061,42685.992
50062,71909.47
50063,39421.805
50064,22198.918
50065,41098.906
50066,36304.92
50067,140183.83
50068,36584.473
50069,25733.805
50070,38826.555
50071,25327.906
50072,18730.4
50073,36875.324
50074,29669.88
50075,25524.197
50076,35738.625
50077,84309.02
50078,84701.42
50079,37452.7
50080,84619.664
50081,31296.773
50082,27464.977
50083,33956.457
50084,39236.145
50085,22891.598
50086,106255.39
50087,26122.068
50088,42340.383
50089,120549.734
50090,19093.762
50091,32638.791
50092,32293.547
50093,38941.53
50094,36454.227
50095,38523.85
50096,31498.328
50097,30325.238
50098,38811.336
50099,37043.258
50100,26009.559
50101,17711.746
50102,57211.12
50103,28532.895
50104,37238.723
50105,43859.164
50106,36011.883
50107,46108.934
50108,56108.758
50109,45190.87
50110,46136.08
50111,53557.973
50112,34772.68
50113,108427.65
50114,30672.594
50115,57645.754
50116,105217.83
50117,24917.57
50118,27032.98
50119,32817.45
50120,43795.707
50121,24111.898
50122,65015.96
50123,125470.44
50124,34732.566
50125,123124.54
50126,43098.164
50127,27184.283
50128,22106.627
50129,49613.887
50130,35703.67
50131,15050.779
50132,36943.723
50133,56939.49
50134,25323.434
50135,37761.082
50136,41340.46
50137,25890.264
50138,28031.998
50139,38996.12
50140,152307.14
50141,31212.242
50142,70403.43
50143,43913.805
50144,38563.992
50145,40413.91
50146,41980.33
50147,119639.27
50148,28181.014
50149,31418.387
50150,49760.633
50151,26695.566
50152,41574.355
50153,44976.125
50154,96725.234
50155,22775.07
50156,43370.38
50157,33800.906
50158,122863.336
50159,42264.234
50160,35903.734
50161,36855.047
50162,33583.85
50163,37067.844
50164,25981.133
50165,92904.03
50166,23264.973
50167,33409.85
50168,20747.803
50169,55077.406
50170,15450.452
50171,53756.74
50172,11012.744
50173,44714.71
50174,36584.473
50175,35343.11
50176,30862.164
50177,34684.05
50178,25088.186
50179,43502.566
50180,144368.47
50181,40214.836
50182,41175.137
50183,39535.98
50184,33642.957
50185,36741.84
50186,37310.32
50187,50956.742
50188,31180.537
50189,37238.723
50190,35461.184
50191,49911.695
50192,138783.19
50193,28366.102
50194,22858.453
50195,48597.152
50196,23305.55
50197,39581.402
50198,36760.37
50199,39309.95
50200,39236.145
50201,135426.33
50202,30221.15
50203,34476.29
50204,38847.316
50205,37238.723
50206,29027.201
50207,56203.23
50208,86047.734
50209,36584.473
50210,34994.973
50211,37945.71
50212,19968.346
50213,36943.723
50214,32019.008
50215,64497.26
50216,37184.914
50217,82904.93
50218,34154.76
50219,53882.79
50220,83634.4
50221,34427.25
50222,48028.066
50223,58068.324
50224,39236.145
50225,30496.812
50226,21873.492
50227,98017.55
50228,33156.574
50229,50883.848
50230,41580.65
50231,25221.004
50232,105793.68
50233,26141.904
50234,29865.006
50235,38277.543
50236,34080.504
50237,47710.695
50238,40006.484
50239,36016.258
50240,39194.297
50241,43337.133
50242,38860.344
50243,40003.5
50244,16369.5625
50245,39101.43
50246,30426.014
50247,32052.66
50248,27135.82
50249,35260.434
50250,31613.13
50251,80885.24
50252,28041.066
50253,35095.297
50254,38236.508
50255,41366.605
50256,34647.246
50257,144555.98
50258,32702.0
50259,35958.254
50260,20913.389
50261,35795.484
50262,51155.68
50263,25297.389
50264,30946.062
50265,35089.254
50266,24105.596
50267,49241.316
50268,66885.6
50269,37268.06
50270,34712.145
50271,39959.418
50272,48155.36
50273,32550.734
50274,30047.197
50275,21780.2
50276,95422.21
50277,20337.309
50278,17271.695
50279,34449.836
50280,34548.387
50281,26553.13
50282,36052.895
50283,9979.933
50284,21191.906
50285,79969.91
50286,67492.766
50287,35298.15
50288,33092.32
50289,29792.457
50290,42810.18
50291,130876.18
50292,17460.506
50293,81304.57
50294,41226.645
50295,40013.285
50296,26211.35
50297,36436.355
50298,13559.728
50299,50502.73
50300,46828.01
50301,25944.672
50302,21522.793
50303,34173.4
50304,24923.191
50305,31883.3
50306,35897.61
50307,27418.523
50308,33420.934
50309,67898.91
50310,26987.81
50311,33194.766
50312,36584.473
50313,30846.29
50314,34058.754
50315,32645.082
50316,56705.062
50317,30463.693
50318,30480.463
50319,33432.992
50320,35104.05
50321,136280.88
50322,25207.611
50323,30331.605
50324,47918.406
50325,37520.33
50326,34946.387
50327,38027.016
50328,28519.152
50329,44658.96
50330,28851.055
50331,36472.016
50332,39899.06
50333,66306.125
50334,33156.574
50335,102874.88
50336,37660.44
50337,27956.973
50338,52909.94
50339,35298.15
50340,39940.855
50341,20499.1
50342,16914.555
50343,12266.517
50344,28467.094
50345,23996.586
50346,80604.945
50347,38693.434
50348,48581.44
50349,33156.574
50350,77955.05
50351,33841.344
50352,71418.266
50353,40631.414
50354,25643.293
50355,47273.6
50356,83693.05
50357,27841.178
50358,44477.562
50359,155280.52
50360,57451.15
50361,41963.34
50362,27865.2
50363,25002.893
50364,26982.28
50365,25010.098
50366,88907.76
50367,41315.04
50368,27766.678
50369,42818.2
50370,53902.707
50371,31351.434
50372,33439.824
50373,22430.084
50374,40401.977
50375,42439.574
50376,21193.307
50377,89864.234
50378,83554.07
50379,36987.53
50380,80144.54
50381,58300.582
50382,23549.254
50383,25974.338
50384,32682.904
50385,16693.154
50386,44830.055
50387,27815.809
50388,34994.973
50389,37431.062
50390,37789.336
50391,44134.09
50392,43149.613
50393,32827.15
50394,34130.234
50395,26557.584
50396,43967.094
50397,20585.248
50398,20216.896
50399,26093.943
50400,25945.533
50401,58299.855
50402,42128.7
50403,52895.844
50404,24261.062
50405,24773.648
50406,38031.63
50407,25577.893
50408,63154.445
50409,52718.254
50410,82723.414
50411,39367.344
50412,28496.416
50413,45538.03
50414,27576.676
50415,53355.414
50416,38152.855
50417,32280.482
50418,37874.152
50419,46455.008
50420,40547.04
50421,23507.885
50422,37899.13
50423,15238.679
50424,55068.08
50425,27248.385
50426,31746.615
50427,35548.566
50428,27587.715
50429,34259.605
50430,42674.168
50431,31911.291
50432,55906.61
50433,42841.387
50434,47404.465
50435,47742.938
50436,27828.541
50437,27107.586
50438,24310.8
50439,32834.13
50440,43946.125
50441,34121.695
50442,36066.836
50443,39103.87
50444,34962.367
50445,21552.775
50446,41735.086
50447,29585.719
50448,42441.03
50449,34764.203
50450,81098.445
50451,47534.26
50452,66873.77
50453,27874.836
50454,96369.65
50455,93440.43
50456,40838.934
50457,78581.19
50458,25242.076
50459,36421.727
50460,34049.93
50461,29367.105
50462,59845.867
50463,56210.71
50464,28404.236
50465,38638.98
50466,15256.542
50467,43015.03
50468,15807.958
50469,23913.732
50470,39791.473
50471,30524.541
50472,49565.33
50473,15288.704
50474,35023.633
50475,44680.645
50476,22668.605
50477,25872.48
50478,80713.43
50479,80700.42
50480,112262.11
50481,34697.44
50482,28082.594
50483,22856.143
50484,35398.55
50485,149462.58
50486,37081.727
50487,34703.84
50488,31858.184
50489,69851.89
50490,34183.52
50491,50976.016
50492,93948.29
50493,36826.84
50494,31726.951
50495,113095.74
50496,21736.723
50497,34804.29
50498,62705.785
50499,35464.33
50500,28168.027
50501,74564.83
50502,47453.08
50503,41644.41
50504,25326.646
50505,77372.36
50506,54271.83
50507,33070.418
50508,65357.555
50509,32630.627
50510,50275.55
50511,32953.22
50512,38601.348
50513,29605.236
50514,56635.785
50515,58942.17
50516,63169.01
50517,21902.697
50518,27522.43
50519,126508.89
50520,24493.838
50521,38860.344
50522,55877.914
50523,86652.7
50524,42513.867
50525,33840.496
50526,36584.473
50527,65860.54
50528,41768.31
50529,28076.26
50530,33091.34
50531,28495.377
50532,28730.145
50533,41736.973
50534,39236.145
50535,36343.574
50536,33633.285
50537,35298.15
50538,82006.92
50539,55754.324
50540,65347.0
50541,25847.592
50542,35451.574
50543,33313.38
50544,30002.367
50545,28513.934
50546,47877.152
50547,23389.963
50548,24622.791
50549,80508.51
50550,44374.55
50551,27140.26
50552,34306.33
50553,41915.17
50554,55786.156
50555,40836.266
50556,41002.258
50557,23084.588
50558,111595.48
50559,45290.047
50560,38656.664
50561,17679.021
50562,34780.55
50563,37238.723
50564,94377.664
50565,25016.945
50566,52353.33
50567,29399.95
50568,56730.844
50569,31080.139
50570,40432.25
50571,67593.695
50572,22184.484
50573,81339.63
50574,34151.23
50575,22312.379
50576,129133.91
50577,27158.771
50578,39858.977
50579,38016.31
50580,24470.07
50581,25703.195
50582,51444.69
50583,32596.832
50584,23189.277
50585,25172.951
50586,24766.03
50587,41710.555
50588,39845.3
50589,37667.23
50590,30596.877
50591,38906.41
50592,62282.383
50593,74962.08
50594,25554.227
50595,32819.008
50596,46665.324
50597,55845.625
50598,18469.584
50599,38574.867
50600,22594.203
50601,39139.42
50602,97607.19
50603,38716.555
50604,28830.578
50605,29033.473
50606,33653.34
50607,29488.414
50608,53215.17
50609,35393.133
50610,127369.805
50611,145452.53
