,id,income
0,50001,25170.336
1,50002,18778.193
2,50003,26193.99
3,50004,21448.895
4,50005,29115.07
5,50006,30927.006
6,50007,26590.168
7,50008,37113.844
8,50009,32515.627
9,50010,68703.79
10,50011,13870.039
11,50012,14372.962
12,50013,62923.324
13,50014,38153.773
14,50015,42452.227
15,50016,26285.535
16,50017,36368.227
17,50018,58054.12
18,50019,23186.09
19,50020,28785.742
20,50021,19238.41
21,50022,93226.34
22,50023,38505.938
23,50024,35417.504
24,50025,27887.861
25,50026,110638.46
26,50027,29040.654
27,50028,19922.035
28,50029,22147.285
29,50030,24425.506
30,50031,19394.928
31,50032,80145.78
32,50033,30672.318
33,50034,15315.214
34,50035,63094.344
35,50036,28330.018
36,50037,39314.824
37,50038,23489.29
38,50039,25814.967
39,50040,31944.887
40,50041,43783.89
41,50042,22227.168
42,50043,25301.01
43,50044,23186.635
44,50045,30331.594
45,50046,29600.701
46,50047,43481.832
47,50048,28308.727
48,50049,41459.945
49,50050,24162.152
50,50051,32008.494
51,50052,46964.215
52,50053,39144.04
53,50054,42398.73
54,50055,39625.152
55,50056,38329.43
56,50057,25752.316
57,50058,17087.762
58,50059,14364.044
59,50060,30568.443
60,50061,36123.875
61,50062,65071.06
62,50063,36011.473
63,50064,19914.416
64,50065,42766.133
65,50066,33063.062
66,50067,83518.21
67,50068,36393.098
68,50069,21127.121
69,50070,30595.643
70,50071,22760.076
71,50072,15125.3
72,50073,37264.68
73,50074,30037.951
74,50075,25784.03
75,50076,31229.143
76,50077,42962.008
77,50078,58330.344
78,50079,39809.367
79,50080,113871.67
80,50081,33393.848
81,50082,23199.602
82,50083,26771.195
83,50084,41459.945
84,50085,19772.771
85,50086,94785.09
86,50087,18134.658
87,50088,64296.117
88,50089,68495.375
89,50090,14882.7705
90,50091,24764.908
91,50092,19140.643
92,50093,37262.08
93,50094,33705.367
94,50095,46734.83
95,50096,28960.28
96,50097,24197.5
97,50098,29768.123
98,50099,24487.031
99,50100,26191.436
100,50101,19881.168
